smiles zinc_id ortholog_name gene_name affinity chembldocid title reference.pubmed_id reference.doi reference.chembl_id
Cc1nc(N)sc1Sc1nc2ccc(Cl)cc2c(=O)n1-c1ccccc1 ZINC000299825323 DYR_BOVIN DHFR 5.3 90791 None 25139568 None CHEMBL3352542
Cc1ccc(-n2c(Sc3nnc(N)s3)nc3ccc(C)cc3c2=O)cc1 ZINC000299825340 DYR_BOVIN DHFR 5.1 90791 None 25139568 None CHEMBL3352542
Cc1ccc2nc(Sc3sc(N)nc3C)n(Cc3ccccc3)c(=O)c2c1 ZINC000299825411 DYR_BOVIN DHFR 5.3 90791 None 25139568 None CHEMBL3352542
COc1cc2nc(Sc3sc(N)nc3C)n(Cc3ccccc3)c(=O)c2cc1OC ZINC000299825486 DYR_BOVIN DHFR 5.22 90791 None 25139568 None CHEMBL3352542
COc1cc2nc(Sc3nnc(N)s3)n(-c3ccccc3)c(=O)c2cc1OC ZINC000299825561 DYR_BOVIN DHFR 5 90791 None 25139568 None CHEMBL3352542
Nc1nnc(Sc2nc3ccc(Cl)cc3c(=O)n2-c2ccc(Cl)cc2)s1 ZINC000299825628 DYR_BOVIN DHFR 6 90791 None 25139568 None CHEMBL3352542
Cc1nc(N)sc1Sc1nc2ccc(Cl)cc2c(=O)n1-c1ccc(Oc2ccccc2)cc1 ZINC000299826761 DYR_BOVIN DHFR 6 90791 None 25139568 None CHEMBL3352542
Cc1ccc(-n2c(Sc3sc(N)nc3C)nc3ccc(C)cc3c2=O)cc1 ZINC000299827510 DYR_BOVIN DHFR 5.15 90791 None 25139568 None CHEMBL3352542
Cc1ccc2nc(Sc3nnc(N)s3)n(Cc3ccccc3)c(=O)c2c1 ZINC000299827557 DYR_BOVIN DHFR 5.7 90791 None 25139568 None CHEMBL3352542
Nc1nnc(Sc2nc3ccc(Cl)cc3c(=O)n2-c2ccccc2)s1 ZINC000299829544 DYR_BOVIN DHFR 5.22 90791 None 25139568 None CHEMBL3352542
COc1cc2nc(Sc3nnc(N)s3)n(-c3ccc(Oc4ccccc4)cc3)c(=O)c2cc1OC ZINC000299829576 DYR_BOVIN DHFR 6.22 90791 None 25139568 None CHEMBL3352542
COc1ccc(-n2c(Sc3nnc(N)s3)nc3ccc(Cl)cc3c2=O)cc1 ZINC000299829762 DYR_BOVIN DHFR 6.1 90791 None 25139568 None CHEMBL3352542
COc1ccc(-n2c(Sc3sc(N)nc3C)nc3ccc(Cl)cc3c2=O)cc1 ZINC000299829773 DYR_BOVIN DHFR 5.1 90791 None 25139568 None CHEMBL3352542
Nc1nnc(Sc2nc3ccc(Cl)cc3c(=O)n2Cc2ccccc2)s1 ZINC000299830316 DYR_BOVIN DHFR 5.1 90791 None 25139568 None CHEMBL3352542
COc1ccc(-n2c(Sc3sc(N)nc3C)nc3cc(OC)c(OC)cc3c2=O)cc1 ZINC000299830432 DYR_BOVIN DHFR 6 90791 None 25139568 None CHEMBL3352542
Cc1ccc2nc(Sc3nnc(N)s3)n(-c3ccc(Cl)cc3)c(=O)c2c1 ZINC000299831016 DYR_BOVIN DHFR 6.15 90791 None 25139568 None CHEMBL3352542
COc1cc2nc(Sc3sc(N)nc3C)n(-c3ccccc3)c(=O)c2cc1OC ZINC000299831357 DYR_BOVIN DHFR 5.15 90791 None 25139568 None CHEMBL3352542
COc1ccc(-n2c(Sc3sc(N)nc3C)nc3ccc(C)cc3c2=O)cc1 ZINC000299831856 DYR_BOVIN DHFR 5.15 90791 None 25139568 None CHEMBL3352542
Cc1ccc2nc(Sc3sc(N)nc3C)n(-c3ccc(Cl)cc3)c(=O)c2c1 ZINC000299831975 DYR_BOVIN DHFR 5.15 90791 None 25139568 None CHEMBL3352542
Cc1ccc(-n2c(Sc3sc(N)nc3C)nc3ccc(Cl)cc3c2=O)cc1 ZINC000299832612 DYR_BOVIN DHFR 5.3 90791 None 25139568 None CHEMBL3352542
COc1cc2nc(Sc3nnc(N)s3)n(-c3ccc(C)cc3)c(=O)c2cc1OC ZINC000299832740 DYR_BOVIN DHFR 6 90791 None 25139568 None CHEMBL3352542
