molecule_chembl_id,molecule_zinc_id,smiles_clean,pKi_mean_value,pKi_last_value,pKi_first_value,target_organism
CHEMBL17662,ZINC000013559317,NC1=N[C@H](c2cccc(OCc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,7.266,6.11,9.15,PFLAK
CHEMBL17662,ZINC000013559318,NC1=N[C@@H](c2cccc(OCc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1,6.68,5.09,6.72,PFLAK
CHEMBL17662,ZINC000013559319,NC1=N[C@H](c2cccc(OCc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1,6.68,5.09,6.72,PFLAK
CHEMBL17662,ZINC000013559320,NC1=N[C@@H](c2cccc(Oc3ccc(Cl)cc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,6.601000000000001,7.07,8.85,PFLAK
CHEMBL17662,ZINC000013559321,NC1=N[C@H](c2cccc(Oc3ccc(Cl)cc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,6.601000000000001,7.07,8.85,PFLAK
CHEMBL17662,ZINC000013559322,NC1=N[C@@H](c2cccc(Oc3ccc(Cl)cc3)c2)N(c2cccc(Cl)c2)C(N)=N1,6.960909090909092,8.1,8.89,PFLAK
CHEMBL17662,ZINC000013559323,NC1=N[C@H](c2cccc(Oc3ccc(Cl)cc3)c2)N(c2cccc(Cl)c2)C(N)=N1,6.960909090909092,8.1,8.89,PFLAK
CHEMBL17662,ZINC000013559324,CCCOc1ccc([C@@H]2N=C(N)N=C(N)N2c2cccc(Cl)c2)cc1,7.601999999999999,8.03,9.3,PFLAK
CHEMBL17662,ZINC000013559325,CCCOc1ccc([C@H]2N=C(N)N=C(N)N2c2cccc(Cl)c2)cc1,7.601999999999999,8.03,9.3,PFLAK
CHEMBL17662,ZINC000013559326,NC1=N[C@@H](c2cccc(Oc3cc(Cl)cc(Cl)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,7.281000000000001,5.26,9.22,PFLAK
CHEMBL17662,ZINC000013559327,NC1=N[C@H](c2cccc(Oc3cc(Cl)cc(Cl)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,7.281000000000001,5.26,9.22,PFLAK
CHEMBL17662,ZINC000013559328,NC1=N[C@@H](c2cccc(Oc3cccc(C(F)(F)F)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,7.361111111111111,8.19,9.22,PFLAK
CHEMBL17662,ZINC000013559329,NC1=N[C@H](c2cccc(Oc3cccc(C(F)(F)F)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,7.361111111111111,8.19,9.22,PFLAK
CHEMBL21047,ZINC000013809204,NC1=NCN(c2ccc(Cl)cc2)C(N)=N1,7.626666666666668,6.19,9.08,PFLAK
CHEMBL15522,ZINC000013809206,CCC[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.654999999999999,8.34,6.97,PFLAK
CHEMBL15522,ZINC000013809208,CCC[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.654999999999999,8.34,6.97,PFLAK
CHEMBL15522,ZINC000013809210,CCCC[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.605,8.43,6.78,PFLAK
CHEMBL15522,ZINC000013809212,CCCC[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.605,8.43,6.78,PFLAK
CHEMBL15522,ZINC000013809214,CC(C)(C)[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,5.42,5.42,5.42,PFLAK
CHEMBL15522,ZINC000013809216,CC(C)(C)[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,5.42,5.42,5.42,PFLAK
CHEMBL15522,ZINC000013809218,CC[C@@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,7.465,8.24,6.69,PFLAK
CHEMBL15522,ZINC000013809220,CC[C@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,7.465,8.24,6.69,PFLAK
CHEMBL15522,ZINC000013809222,CCC[C@@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,7.745,8.59,6.9,PFLAK
CHEMBL15522,ZINC000013809223,CCC[C@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,7.745,8.59,6.9,PFLAK
CHEMBL15522,ZINC000013809225,CC(C)[C@@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,6.72,7.52,5.92,PFLAK
CHEMBL15522,ZINC000013809227,CC(C)[C@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,6.72,7.52,5.92,PFLAK
CHEMBL15522,ZINC000013809229,CC[C@@H]1N=C(N)N=C(N)N1c1ccc(C)cc1,7.56,8.23,6.89,PFLAK
CHEMBL15522,ZINC000013809231,CC[C@H]1N=C(N)N=C(N)N1c1ccc(C)cc1,7.56,8.23,6.89,PFLAK
CHEMBL15522,ZINC000013809233,CCC[C@@H]1N=C(N)N=C(N)N1c1ccc(C)cc1,7.295,6.73,7.86,PFLAK
CHEMBL15522,ZINC000013809235,CCC[C@H]1N=C(N)N=C(N)N1c1ccc(C)cc1,7.295,6.73,7.86,PFLAK
CHEMBL15522,ZINC000013809237,Cc1ccc(N2C(N)=NC(N)=N[C@H]2C(C)C)cc1,6.3100000000000005,6.78,5.84,PFLAK
CHEMBL15522,ZINC000013809239,Cc1ccc(N2C(N)=NC(N)=N[C@@H]2C(C)C)cc1,6.3100000000000005,6.78,5.84,PFLAK
CHEMBL15522,ZINC000013809241,NC1=NCN(c2ccccc2)C(N)=N1,6.593333333333334,7.07,6.48,PFLAK
CHEMBL15522,ZINC000013809243,NC1=NCN(c2ccc(F)cc2)C(N)=N1,6.653333333333333,7.06,6.57,PFLAK
CHEMBL17071,ZINC000013858385,CNC(=S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O,5.5425,6.05,5.74,PFLAK
CHEMBL15522,ZINC000016981849,CC1(C)N=C(N)N=C(N)N1c1ccccc1,6.803333333333334,7.7,5.86,PFLAK
CHEMBL17662,ZINC000017039796,NC1=N[C@H](c2ccccc2)N(c2ccc(Cl)cc2)C(N)=N1,7.052857142857143,7.31,5.73,PFLAK
CHEMBL15522,ZINC000017040301,NC1=N[C@H](c2ccccc2)N(c2cccc(Cl)c2)C(N)=N1,7.024615384615384,6.01,8.0,PFLAK
CHEMBL21047,ZINC000017040529,Cc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,7.78,5.8,8.8,PFLAK
