zinc_id,ortholog_name,gene_name,affinity,chembldocid,title,reference.pubmed_id,reference.doi,reference.chembl_id,reference.journal,reference.year
ZINC000005888905,DRTS_PLAFK,DRTS_PLAFK,8.74,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005888905,DRTS_PLAFK,DRTS_PLAFK,5.95,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005888905,DRTS_PLAFK,DRTS_PLAFK,7.58,16871,None,11881993,None,CHEMBL1135602,J. Med. Chem.,2002
ZINC000005888905,DRTS_PLAFK,DRTS_PLAFK,5.51,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005888905,DRTS_PLAFK,DRTS_PLAFK,7.35,16871,None,11881993,None,CHEMBL1135602,J. Med. Chem.,2002
ZINC000005888905,DRTS_PLAFK,DRTS_PLAFK,7.35,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005974507,DRTS_PLAFK,DRTS_PLAFK,5.52,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005974507,DRTS_PLAFK,DRTS_PLAFK,8.23,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005974507,DRTS_PLAFK,DRTS_PLAFK,7.24,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005974507,DRTS_PLAFK,DRTS_PLAFK,6.10,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005974561,DRTS_PLAFK,DRTS_PLAFK,7.00,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005974561,DRTS_PLAFK,DRTS_PLAFK,6.96,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005974561,DRTS_PLAFK,DRTS_PLAFK,6.89,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005974561,DRTS_PLAFK,DRTS_PLAFK,5.64,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005974561,DRTS_PLAFK,DRTS_PLAFK,5.33,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005974561,DRTS_PLAFK,DRTS_PLAFK,8.19,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005974561,DRTS_PLAFK,DRTS_PLAFK,6.00,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000005992377,DRTS_PLAFK,DRTS_PLAFK,6.10,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000006118700,DRTS_PLAFK,DRTS_PLAFK,5.57,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000006118700,DRTS_PLAFK,DRTS_PLAFK,5.47,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000006118700,DRTS_PLAFK,DRTS_PLAFK,5.44,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000006118700,DRTS_PLAFK,DRTS_PLAFK,6.10,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000006118700,DRTS_PLAFK,DRTS_PLAFK,5.07,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000006118700,DRTS_PLAFK,DRTS_PLAFK,5.01,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000006627681,DRTS_PLAFK,DRTS_PLAFK,8.00,31502,None,16750361,None,CHEMBL1145311,Bioorg. Med. Chem. Lett.,2006
ZINC000006627681,DRTS_PLAFK,DRTS_PLAFK,7.99,16871,None,11881993,None,CHEMBL1135602,J. Med. Chem.,2002
ZINC000006627681,DRTS_PLAFK,DRTS_PLAFK,7.99,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000006627681,DRTS_PLAFK,DRTS_PLAFK,6.88,16871,None,11881993,None,CHEMBL1135602,J. Med. Chem.,2002
ZINC000006627681,DRTS_PLAFK,DRTS_PLAFK,6.62,16871,None,11881993,None,CHEMBL1135602,J. Med. Chem.,2002
ZINC000006627681,DRTS_PLAFK,DRTS_PLAFK,6.62,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000006627681,DRTS_PLAFK,DRTS_PLAFK,5.24,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000006627681,DRTS_PLAFK,DRTS_PLAFK,5.18,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
