,zinc_id,smiles,first_affinity,last_affinity,mean_affinity,chembldocid,reference.pubmed_id,reference.chembl_id
375,ZINC000026403264,Nc1nc2ccc(N(C=O)Cc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,6.55,6.55,6.55,9629,3339615,CHEMBL1124218
376,ZINC000026472861,Cc1c(N(C)Cc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)ccc2nc(N)[nH]c(=O)c12,5.49,5.49,5.49,9629,3339615,CHEMBL1124218
377,ZINC000026472869,Cc1c(N(C)Cc2ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc2)ccc2nc(N)[nH]c(=O)c12,5.49,5.49,5.49,9629,3339615,CHEMBL1124218
378,ZINC000026969757,Nc1cc(N)c2cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)ccc2c1,7.85,7.85,7.85,7043,7365749,CHEMBL1121411
379,ZINC000026969766,Nc1cc(N)c2cc(CCc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)ccc2c1,7.85,7.85,7.85,7043,7365749,CHEMBL1121411
380,ZINC000026983886,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](C[C@@H](F)C(=O)O)C(=O)O)cc1,8.87,8.87,8.87,13371,8568827,CHEMBL1129679
381,ZINC000027083070,CN(Cc1cccc2c1CCCC2)c1ccc2nc(N)nc(N)c2c1,7.57,7.57,7.57,14570,9719595,CHEMBL1131583
382,ZINC000027084028,Nc1nc(N)c2cc(NCc3cccc4c3CCCC4)ccc2n1,6.22,6.22,6.22,14570,9719595,CHEMBL1131583
383,ZINC000027420875,N[C@H]1N=C2C(=CC=CN2Cc2ccccc2)C(=O)N1,5.77,5.14,5.6225,12635,7990119,CHEMBL1127798
384,ZINC000027420880,N[C@H]1N=C(O)C2=CC=CN(Cc3ccccc3)C2=N1,5.77,5.14,5.6225,12635,7990119,CHEMBL1127798
385,ZINC000027421533,CCCN1C=CC(C)=C2C(=O)N[C@@H](N)N=C21,5.92,5.12,5.3625,12635,7990119,CHEMBL1127798
386,ZINC000027421538,CCCN1C=CC(C)=C2C(=O)N[C@H](N)N=C21,5.92,5.12,5.3625,12635,7990119,CHEMBL1127798
387,ZINC000027424391,CC1=C2C(=O)N[C@@H](N)N=C2N(CCC(C)C)C=C1,5.74,6.15,5.68,12635,7990119,CHEMBL1127798
388,ZINC000027424396,CC1=C2C(=O)N[C@H](N)N=C2N(CCC(C)C)C=C1,5.74,6.15,5.68,12635,7990119,CHEMBL1127798
389,ZINC000027424400,CC1=C2C(=O)N[C@@H](N)N=C2N(CC(C)C)C=C1,10.0,7.1,6.837272727272727,12635,7990119,CHEMBL1127798
390,ZINC000027424405,CC1=C2C(=O)N[C@H](N)N=C2N(CC(C)C)C=C1,10.0,7.1,6.837272727272727,12635,7990119,CHEMBL1127798
391,ZINC000027424410,CC(C)N1C=CC=C2C(=O)N[C@@H](N)N=C21,5.0,5.72,5.359999999999999,12635,7990119,CHEMBL1127798
392,ZINC000027424414,CC(C)N1C=CC=C2C(=O)N[C@H](N)N=C21,5.0,5.72,5.359999999999999,12635,7990119,CHEMBL1127798
393,ZINC000027424826,CC(C)CN1C=CC=C2C(=O)N[C@@H](N)N=C21,6.22,5.6,5.826666666666667,12635,7990119,CHEMBL1127798
394,ZINC000027424830,CC(C)CN1C=CC=C2C(=O)N[C@H](N)N=C21,6.22,5.6,5.826666666666667,12635,7990119,CHEMBL1127798
