,zinc_id,smiles,first_affinity,mean_affinity,chembldocid,reference.pubmed_id,reference.chembl_id,reference.year
135,ZINC000013559316,NC1=N[C@@H](c2cccc(OCc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,9.15,7.266,17662,14736247,CHEMBL1138835,2004
136,ZINC000013559317,NC1=N[C@H](c2cccc(OCc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,9.15,7.266,17662,14736247,CHEMBL1138835,2004
137,ZINC000013559318,NC1=N[C@@H](c2cccc(OCc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1,6.72,6.68,17662,14736247,CHEMBL1138835,2004
138,ZINC000013559319,NC1=N[C@H](c2cccc(OCc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1,6.72,6.68,17662,14736247,CHEMBL1138835,2004
139,ZINC000013559320,NC1=N[C@@H](c2cccc(Oc3ccc(Cl)cc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,8.85,6.601000000000001,17662,14736247,CHEMBL1138835,2004
140,ZINC000013559321,NC1=N[C@H](c2cccc(Oc3ccc(Cl)cc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,8.85,6.601000000000001,17662,14736247,CHEMBL1138835,2004
141,ZINC000013559322,NC1=N[C@@H](c2cccc(Oc3ccc(Cl)cc3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.89,6.960909090909092,17662,14736247,CHEMBL1138835,2004
142,ZINC000013559323,NC1=N[C@H](c2cccc(Oc3ccc(Cl)cc3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.89,6.960909090909092,17662,14736247,CHEMBL1138835,2004
143,ZINC000013559324,CCCOc1ccc([C@@H]2N=C(N)N=C(N)N2c2cccc(Cl)c2)cc1,9.3,7.601999999999999,17662,14736247,CHEMBL1138835,2004
144,ZINC000013559325,CCCOc1ccc([C@H]2N=C(N)N=C(N)N2c2cccc(Cl)c2)cc1,9.3,7.601999999999999,17662,14736247,CHEMBL1138835,2004
145,ZINC000013559326,NC1=N[C@@H](c2cccc(Oc3cc(Cl)cc(Cl)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,9.22,7.281000000000001,17662,14736247,CHEMBL1138835,2004
146,ZINC000013559327,NC1=N[C@H](c2cccc(Oc3cc(Cl)cc(Cl)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,9.22,7.281000000000001,17662,14736247,CHEMBL1138835,2004
147,ZINC000013559328,NC1=N[C@@H](c2cccc(Oc3cccc(C(F)(F)F)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,9.22,7.361111111111111,17662,14736247,CHEMBL1138835,2004
148,ZINC000013559329,NC1=N[C@H](c2cccc(Oc3cccc(C(F)(F)F)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,9.22,7.361111111111111,17662,14736247,CHEMBL1138835,2004
149,ZINC000013809204,NC1=NCN(c2ccc(Cl)cc2)C(N)=N1,9.08,7.626666666666668,21047,15293997,CHEMBL1138679,2004
150,ZINC000013809206,CCC[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.97,7.654999999999999,15522,10893311,CHEMBL1133696,2000
151,ZINC000013809208,CCC[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.97,7.654999999999999,15522,10893311,CHEMBL1133696,2000
152,ZINC000013809210,CCCC[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.78,7.605,15522,10893311,CHEMBL1133696,2000
153,ZINC000013809212,CCCC[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.78,7.605,15522,10893311,CHEMBL1133696,2000
154,ZINC000013809214,CC(C)(C)[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,5.42,5.42,15522,10893311,CHEMBL1133696,2000
155,ZINC000013809216,CC(C)(C)[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1,5.42,5.42,15522,10893311,CHEMBL1133696,2000
156,ZINC000013809218,CC[C@@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,6.69,7.465,15522,10893311,CHEMBL1133696,2000
157,ZINC000013809220,CC[C@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,6.69,7.465,15522,10893311,CHEMBL1133696,2000
158,ZINC000013809222,CCC[C@@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,6.9,7.745,15522,10893311,CHEMBL1133696,2000
159,ZINC000013809223,CCC[C@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,6.9,7.745,15522,10893311,CHEMBL1133696,2000
160,ZINC000013809225,CC(C)[C@@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,5.92,6.72,15522,10893311,CHEMBL1133696,2000
161,ZINC000013809227,CC(C)[C@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,5.92,6.72,15522,10893311,CHEMBL1133696,2000
162,ZINC000013809229,CC[C@@H]1N=C(N)N=C(N)N1c1ccc(C)cc1,6.89,7.5600000000000005,15522,10893311,CHEMBL1133696,2000
163,ZINC000013809231,CC[C@H]1N=C(N)N=C(N)N1c1ccc(C)cc1,6.89,7.5600000000000005,15522,10893311,CHEMBL1133696,2000
164,ZINC000013809233,CCC[C@@H]1N=C(N)N=C(N)N1c1ccc(C)cc1,7.86,7.295,15522,10893311,CHEMBL1133696,2000
165,ZINC000013809235,CCC[C@H]1N=C(N)N=C(N)N1c1ccc(C)cc1,7.86,7.295,15522,10893311,CHEMBL1133696,2000
166,ZINC000013809237,Cc1ccc(N2C(N)=NC(N)=N[C@H]2C(C)C)cc1,5.84,6.3100000000000005,15522,10893311,CHEMBL1133696,2000
167,ZINC000013809239,Cc1ccc(N2C(N)=NC(N)=N[C@@H]2C(C)C)cc1,5.84,6.3100000000000005,15522,10893311,CHEMBL1133696,2000
