molecule_chembl_id,smiles,pKi_mean_value,mean_Ki_value,target_organism
CHEMBL216675,O=C1OC(c2ccc(O)c(Br)c2)(c2ccc(O)c(Br)c2)c2ccc(Cl)c3cccc1c23,4.886056647693163,13000.0,Homo sapiens
CHEMBL385891,O=C1OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2cccc3cccc1c23,5.022276394711152,9500.0,Homo sapiens
CHEMBL387007,O=C1OC(c2ccc(O)c(Br)c2)(c2ccc(O)c(Br)c2)c2cccc3cccc1c23,4.823908740944319,15000.0,Homo sapiens
CHEMBL217765,O=C1OC(c2ccc(O)cc2)(c2ccc(O)c(Br)c2)c2cccc3cccc1c23,5.468521082957745,3400.0,Homo sapiens
CHEMBL386282,O=C1OC(c2cc(Cl)c(O)c(Cl)c2)(c2cc(Cl)c(O)c(Cl)c2)c2cccc3cccc1c23,4.552841968657781,28000.0,Homo sapiens
CHEMBL67116,O=C1OC(c2ccc(O)c(Cl)c2)(c2ccc(O)c(Cl)c2)c2cccc3cccc1c23,5.2839966563652006,5200.0,Homo sapiens
CHEMBL385296,O=C1OC(c2ccc(O)c(I)c2)(c2ccc(O)c(I)c2)c2cccc3cccc1c23,4.026872146400302,94000.0,Homo sapiens
CHEMBL411871,O=C1OC(c2ccc(O)c(F)c2)(c2ccc(O)c(F)c2)c2ccc3ccccc3c21,3.962573502059376,109000.0,Homo sapiens
CHEMBL217760,O=C1OC(c2ccc(O)c(Cl)c2)(c2ccc(O)c(Cl)c2)c2ccc3ccccc3c21,4.455931955649724,35000.0,Homo sapiens
CHEMBL414689,Cc1cc(O)c(C(C)C)cc1C1(c2cc(C(C)C)c(O)cc2C)OC(=O)c2ccc3ccccc3c21,4.886056647693163,13000.0,Homo sapiens
CHEMBL214872,O=C1OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2c1ccc1ccccc21,4.161150909262744,69000.0,Homo sapiens
CHEMBL215133,O=C1OC(c2ccc(O)c(Br)c2)(c2ccc(O)c(Br)c2)c2c1ccc1ccccc21,4.481486060122113,33000.0,Homo sapiens
CHEMBL216560,O=C1OC(c2ccc(O)c(I)c2)(c2ccc(O)c(I)c2)c2c1ccc1ccccc21,5.4089353929735005,3900.0,Homo sapiens
CHEMBL386442,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccc3ccccc3c21,4.455931955649724,35000.0,Homo sapiens
CHEMBL390990,Nc1nc(N)c2nc(CNc3ccc4c(c3)CN([C@@H](CCC(=O)O)C(=O)O)C4=O)cnc2n1,10.468521082957745,0.034,Homo sapiens
CHEMBL388501,Nc1nc(N)c2nc(CNc3ccc4c(c3)CN(C(CCC(=O)O)C(=O)O)C4=O)cnc2n1,10.113509274827518,0.077,Homo sapiens
CHEMBL224946,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc2c(c1)CN([C@@H](CCC(=O)O)C(=O)O)C2=O,8.67778070526608,2.1,Homo sapiens
CHEMBL518405,COc1ccc(Nc2nc3cc(N)cc(N)c3nc2-c2ccccc2)cc1,5.7447274948966935,1800.0,Homo sapiens
CHEMBL464844,COc1cc(Nc2nc3cc(N)cc(N)c3nc2-c2ccccc2)cc(OC)c1,6.221848749616356,600.0,Homo sapiens
CHEMBL464504,COc1cc(Nc2nc3cc(N)cc(N)c3nc2-c2ccccc2)cc(OC)c1OC,7.0,100.0,Homo sapiens
CHEMBL606039,COc1ccccc1/C(C)=C\c1coc2nc(N)nc(N)c12,6.301029995663981,500.0,Homo sapiens
CHEMBL610181,COc1ccccc1/C(C)=C/c1coc2nc(N)nc(N)c12,5.795880017344075,1600.0,Homo sapiens
CHEMBL603198,COc1ccccc1C(Cc1coc2nc(N)nc(N)c12)C1CC1,6.187086643357144,650.0,Homo sapiens
CHEMBL595757,COc1ccccc1C(Cc1coc2nc(N)nc(N)c12)C(C)C,6.113509274827518,770.0,Homo sapiens
CHEMBL594810,COc1ccccc1C(=Cc1coc2nc(=N)[nH]c(N)c12)C(C)C,6.080921907623926,830.0,Homo sapiens
CHEMBL603849,CCC(C)C(=Cc1coc2nc(=N)[nH]c(N)c12)c1ccccc1OC,5.958607314841775,1100.0,Homo sapiens
